LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION COUNTRY CODE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TIME PERIOD,CYCLE STOCK UNITS,CYCLE STOCK WEIGHT,CYCLE STOCK VOLUME,CAPITAL LOCK COST
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,2651.0,0.0,0.0,1128722.4160806376
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,29876.168134818006
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,701579.0126547002
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,92727.09926065804
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,865181.0,0.0,0.0,7959240.390394912
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,676462.4909261672
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,03-2021,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,0.0,0.0,0.0,1.3846323028200978E7
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,191.0,0.0,0.0,55038.51643519801
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,07-2021,6628.0,0.0,0.0,92727.09926065804
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,191.0,0.0,0.0,55038.51643519801
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,1128722.4160806376
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,92727.09926065804
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,0.0,0.0,0.0,896.4636304830003
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,0.0,0.0,0.0,75766.11783632157
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,07-2021,26400.0,0.0,0.0,701579.0126547002
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,55038.51643519801
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,1416.0,0.0,0.0,75766.11783632157
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,07-2021,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,04-2021,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,75766.11783632157
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,11866.0,0.0,0.0,75766.11783632157
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,08-2021,26400.0,0.0,0.0,701579.0126547002
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,1.3846323028200978E7
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,0.0,0.0,0.0,676462.4909261672
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,04-2021,0.0,0.0,0.0,537669.0034426876
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,55038.51643519801
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,748512.0,0.0,0.0,1.3846323028200978E7
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,03-2021,0.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,14703.0,0.0,0.0,43935.68252997185
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,59010.0,0.0,0.0,537669.0034426876
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,701579.0126547002
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,0.0,0.0,0.0,43935.68252997185
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,02-2021,0.0,0.0,0.0,0.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,220344.78394851828
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,0.0,0.0,0.0,43935.68252997185
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,06-2021,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,1.3846323028200978E7
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,03-2021,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,07-2021,0.0,0.0,0.0,0.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,220344.78394851828
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,07-2021,0.0,0.0,0.0,29876.168134818006
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,537669.0034426876
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,606381.0,0.0,0.0,7959240.390394912
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,59010.0,0.0,0.0,537669.0034426876
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,211607.0,0.0,0.0,1128722.4160806376
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,7959240.390394912
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,5018.0,0.0,0.0,29876.168134818006
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,,RAW_MATERIAL,03-2021,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,33300.0,0.0,0.0,701579.0126547002
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,08-2021,0.0,0.0,0.0,29876.168134818006
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,79095.0,0.0,0.0,676462.4909261672
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,2397600.0,0.0,0.0,1.3846323028200978E7
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,158241.0,0.0,0.0,1128722.4160806376
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,300.0,0.0,0.0,896.4636304830003
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,04-2021,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,07-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,0.0,0.0,0.0,7959240.390394912
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,02-2021,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,05-2021,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,1128722.4160806376
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,61910.0,0.0,0.0,537669.0034426876
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,843035.0,0.0,0.0,7959240.390394912
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,92727.09926065804
W46_TUG,W46_TUG,US WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,1487536.0,0.0,0.0,1.3846323028200978E7
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,10-2021,0.0,0.0,0.0,7959240.390394912
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,04-2021,0.0,0.0,0.0,55038.51643519801
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,02-2021,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,348949.0,0.0,0.0,7959240.390394912
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,06-2021,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,08-2021,1016.0,0.0,0.0,75766.11783632157
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,03-2021,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,03-2021,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,75766.11783632157
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,05-2021,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,09-2021,0.0,0.0,0.0,537669.0034426876
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,50880.0,0.0,0.0,676462.4909261672
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,05-2021,11057.0,0.0,0.0,75766.11783632157
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,0.0,0.0,0.0,896.4636304830003
W06_TUG,W06_TUG,Canada WH,,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,07-2021,5226.0,0.0,0.0,1128722.4160806376
