PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,ORIGIN ID,ORIGIN CODE,ORIGIN NAME,ORIGIN COUNTRY CODE,ORIGIN LATITUDE,ORIGIN LONGITUDE,DESTINATION ID,DESTINATION CODE,DESTINATION NAME,DESTINATION COUNTRY CODE,DESTINATION LATITUDE,DESTINATION LONGITUDE,TYPE OF LEG,VEHICLE MODEL ID,QUANTITY,WEIGHT MOVED,VOLUME MOVED,CAPACITY,START MONTH,TIME PERIOD
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,W-R,40_Feet_Container,3622.0,26.653,26.653,0.0,09-2021,10-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,S-F,40_Feet_Container,63592.306633961,101.748,101.748,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,4477.038469799,7.163,7.163,0.0,03-2021,04-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,F-W,40_Feet_Container,1066960.0,7851.425,7851.425,0.0,01-2021,04-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,133448.0,982.002,982.002,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,2900.0,21.34,21.34,0.0,06-2021,07-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,S-F,40_Feet_Container,311721.074139144,498.754,498.754,0.0,12-2020,01-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,DC_99949_CHINA_1_TUG,DC_99949_CHINA_1_TUG,CHINA WH,,35.8617,104.19,W-R,40_Feet_Container,14703.0,108.195,108.195,0.0,06-2021,07-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,W-R,40_Feet_Container,809.0,5.953,5.953,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,S-F,40_Feet_Container,104.85,0.168,0.168,0.0,03-2021,05-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,W-R,40_Feet_Container,681.0,5.011,5.011,0.0,07-2021,08-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,F-W,40_Feet_Container,72570.0,534.02,534.02,0.0,01-2021,03-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,W-R,40_Feet_Container,245195.0,1804.313,1804.313,0.0,04-2021,05-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,W-R,40_Feet_Container,50880.0,374.41,374.41,0.0,08-2021,09-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,W-R,40_Feet_Container,3006.0,22.12,22.12,0.0,08-2021,09-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,F-W,40_Feet_Container,130128.0,957.571,957.571,0.0,02-2021,05-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,S-F,40_Feet_Container,21188.368698819,33.901,33.901,0.0,05-2021,07-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,F-W,40_Feet_Container,9960.0,73.293,73.293,0.0,01-2021,04-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,W-R,40_Feet_Container,1200.0,8.83,8.83,0.0,06-2021,07-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,DC_99949_CHINA_1_TUG,DC_99949_CHINA_1_TUG,CHINA WH,,35.8617,104.19,W-R,40_Feet_Container,4268.0,31.407,31.407,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,W-R,40_Feet_Container,22146.0,162.965,162.965,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,W-R,40_Feet_Container,19983.0,147.049,147.049,0.0,04-2021,05-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,F-W,40_Feet_Container,174489.0,1284.01,1284.01,0.0,07-2021,09-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,5983.632526996,9.574,9.574,0.0,01-2021,02-2021
TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,S-F,40_Feet_Container,128353.2,205.365,205.365,0.0,12-2020,01-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,F-W,40_Feet_Container,2097.0,15.431,15.431,0.0,05-2021,07-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,F-W,40_Feet_Container,38049.0,279.991,279.991,0.0,02-2021,04-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,W-R,40_Feet_Container,3407.0,25.071,25.071,0.0,06-2021,07-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,W-R,40_Feet_Container,9540.0,70.202,70.202,0.0,04-2021,05-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,W-R,40_Feet_Container,33726.0,248.179,248.179,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,10451.0,76.906,76.906,0.0,09-2021,10-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,125.0,0.92,0.92,0.0,08-2021,09-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,W-R,40_Feet_Container,420.0,3.091,3.091,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,F-W,40_Feet_Container,18971.0,139.602,139.602,0.0,03-2021,05-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,W-R,40_Feet_Container,2575.0,18.949,18.949,0.0,08-2021,09-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,26123.323360259,41.797,41.797,0.0,01-2021,03-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,66.0,0.486,0.486,0.0,09-2021,10-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,W-R,40_Feet_Container,17307.0,127.357,127.357,0.0,06-2021,07-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,72570.0,534.02,534.02,0.0,03-2021,04-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,W-R,40_Feet_Container,1066960.0,7851.425,7851.425,0.0,04-2021,05-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,F-W,40_Feet_Container,16299.0,119.939,119.939,0.0,01-2021,03-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,35.9078,127.76,F-W,40_Feet_Container,800.0,5.887,5.887,0.0,03-2021,05-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,F-W,40_Feet_Container,45676.0,336.115,336.115,0.0,01-2021,04-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,35.9078,127.76,DC_99953_KOREA_1_TUG,DC_99953_KOREA_1_TUG,KR WH,,35.9078,127.76,W-R,40_Feet_Container,300.0,2.208,2.208,0.0,06-2021,07-2021
TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,10756.45,17.21,17.21,0.0,01-2021,03-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,F-W,40_Feet_Container,356299.0,2621.893,2621.893,0.0,02-2021,05-2021
TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,35.9078,127.76,DC_99953_KOREA_1_TUG,DC_99953_KOREA_1_TUG,KR WH,,35.9078,127.76,W-R,40_Feet_Container,500.0,3.679,3.679,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,1450.250086653,2.32,2.32,0.0,05-2021,07-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,W-R,40_Feet_Container,4076.0,29.994,29.994,0.0,04-2021,05-2021
TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,1843.45,2.95,2.95,0.0,03-2021,04-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,W-R,40_Feet_Container,3905.0,28.736,28.736,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,S-F,40_Feet_Container,254.640746187,0.407,0.407,0.0,03-2021,05-2021
TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,37219.442628297,59.551,59.551,0.0,12-2020,01-2021
TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,W-R,40_Feet_Container,41600.0,306.121,306.121,0.0,05-2021,06-2021
TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,S-F,40_Feet_Container,15325.35,24.521,24.521,0.0,12-2020,01-2021
