ORIGIN ID,ORIGIN CODE,ORIGIN NAME,ORIGIN COUNTRY CODE,ORIGIN LATITUDE,ORIGIN LONGITUDE,DESTINATION ID,DESTINATION CODE,DESTINATION NAME,DESTINATION COUNTRY CODE,DESTINATION LATITUDE,DESTINATION LONGITUDE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TYPE OF LEG,VEHICLE MODEL ID,TIME PERIOD,QUANTITY,WEIGHT MOVED,TRANSPORTATION COST,TARIFF COST,DUTY COST,IN-TRANSIT INVENTORY COST,TOTAL LEAD TIME
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,02-2021,2463.8,3.942,6.899,0.0,0.0,2.83337,31.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,42584.0,313.362,548.384,0.0,0.0,2339.5489956842407,1.0
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,257432.0,1894.362,3315.133,0.0,0.0,7692.614177416659,1.0
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,236654.0,1741.463,3047.56,0.0,0.0,7071.723466944132,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,04-2021,6920.0,50.922,89.114,0.0,0.0,380.1822057612001,1.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,597641.0,4397.853,7696.243,0.0,0.0,17858.78068618303,1.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,6900.0,50.775,88.856,0.0,0.0,379.0834132590001,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,8.538,-80.7821,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,06-2021,36869.0,271.307,13768.852,0.0,11017.239197425914,2203.4478394851826,59.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,05-2021,4096.0,30.141,1160.436,0.0,2250.3270445056005,450.0654089011201,57.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,31849.0,234.367,7038.817,0.0,0.0,1903.4313444835384,47.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,09-2021,10451.0,76.906,2960.867,0.0,3122.980467392613,624.5960934785224,52.613
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,04-2021,233937.0,1721.469,3012.571,0.0,0.0,6990.5337441433885,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,9379.0,69.017,120.78,0.0,0.0,515.2787439066901,1.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,07-2021,8724.45,13.959,24.428,0.0,0.0,20.066235,31.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,03-2021,233937.0,1721.469,81339.418,0.0,0.0,13981.067488286775,57.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,35.9078,127.76,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,300.0,2.208,84.993,0.0,0.0,17.929272609660007,52.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,10927.0,80.408,2392.149,0.0,0.0,653.0438726858497,47.613
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,523691.0,3853.678,6743.937,0.0,0.0,15648.997837042432,1.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,11057.0,81.365,142.389,0.0,0.0,330.40661207501785,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,8.538,-80.7821,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,09-2021,1492.0,10.979,557.192,0.0,445.8412455602122,89.16824911204243,59.613
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,8.538,-80.7821,DC_JV_Baseco_Panama_1_TUG,DC_JV_Baseco_Panama_1_TUG,PAN WH,,8.538,-80.7821,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,36869.0,271.307,474.788,0.0,0.0,1101.7239197425913,1.0
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,20617.0,151.714,265.5,0.0,0.0,1132.6902508928704,1.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,28215.0,207.625,363.344,0.0,0.0,843.1240444692619,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,06-2021,6218.0,45.756,2402.207,0.0,12298.125201623285,1024.84376680194,65.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,05-2021,195358.0,1437.578,55346.767,0.0,58377.11397463266,11675.422794926531,52.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,06-2021,75884.0,558.407,29316.347,0.0,141747.3094028062,12507.11553554172,65.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,26400.0,194.269,339.971,0.0,0.0,1450.4061029040004,1.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,06-2021,26184.550000000003,41.895,73.317,0.0,0.0,30.1122325,31.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,35.9078,127.76,DC_99953_KOREA_1_TUG,DC_99953_KOREA_1_TUG,KR WH,,35.9078,127.76,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,300.0,2.208,3.863,0.0,0.0,8.964636304830004,1.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,1110376.0,8170.909,461928.747,0.0,0.0,99541.1700161192,62.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,,39.9042,116.4074,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,03-2021,4811.650000000001,7.699,13.473,0.0,0.0,18.28427,31.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,1016.0,7.476,13.084,0.0,0.0,30.360234952357615,1.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,02-2021,426649.780935007,682.64,1194.619,0.0,0.0,8149.010815858636,31.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,144692.0,1064.743,1863.3,0.0,0.0,4323.703854061543,1.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,03-2021,289.0,2.127,63.871,0.0,0.0,17.27186594730581,47.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,,8.538,-80.7821,DC_JV_Baseco_Panama_1_TUG,DC_JV_Baseco_Panama_1_TUG,PAN WH,,8.538,-80.7821,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,1492.0,10.979,19.214,0.0,0.0,44.584124556021216,1.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,400.0,2.943,5.151,0.0,0.0,11.952848406440005,1.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,04-2021,289.0,2.127,3.722,0.0,0.0,8.635932973652904,1.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,02-2021,175675.85,281.081,491.892,0.0,0.0,202.0272275,31.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,389439.0,2865.76,5015.079,0.0,0.0,11637.263326388971,1.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,153015.0,1125.989,1970.482,0.0,0.0,4572.412747278544,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,38049.0,279.991,489.984,0.0,0.0,1136.9848225415894,1.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,748512.0,5508.066,9639.115,0.0,0.0,22367.126166003058,1.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,5018.0,36.926,64.62,0.0,0.0,275.68703880198007,1.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,2651.0,19.508,34.139,0.0,0.0,79.21750281368114,1.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,,28.613889,77.208889,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,07-2021,597.15,0.955,1.672,0.0,0.0,1.3734449999999998,31.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,59010.0,434.236,759.913,0.0,0.0,1763.3439611600616,1.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,DC_99949_CHINA_1_TUG,DC_99949_CHINA_1_TUG,CHINA WH,,35.8617,104.19,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,10927.0,80.408,140.715,0.0,0.0,326.52193634292485,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,20617.0,151.714,7168.489,0.0,0.0,3398.070752678611,62.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,53366.0,392.704,687.231,0.0,0.0,1594.6892701451932,1.0
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,174489.0,1284.01,2247.017,0.0,0.0,5214.101413978275,1.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,08-2021,739024.0,5438.246,9516.931,0.0,0.0,22083.604601802297,1.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,,39.9042,116.4074,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,01-2021,4627.6,7.404,12.957,0.0,0.0,8.79244,31.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,09-2021,523691.0,3853.678,238285.766,0.0,0.0,46946.99351112729,65.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,389439.0,2865.76,177199.475,0.0,0.0,34911.78997916692,65.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,06-2021,10035.0,73.844,3489.149,0.0,0.0,1653.9574139365504,62.0
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,348949.0,2567.806,4493.661,0.0,0.0,10427.336246447085,1.0
W46_TUG,W46_TUG,US WH,,37.0902,-95.712,W46_1_TUG,W46_1_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,910064.0,6696.876,11719.533,0.0,0.0,27194.64258039604,1.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,05-2021,2995241.0,22041.041,1362871.036,0.0,0.0,268512.46210315323,65.0
