LOCATION ID,LOCATION CODE,LOCATION NAME,LOCATION TYPE,LOCATION COUNTRY CODE,PRODUCT ID,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TIME PERIOD,MANUFACTURING COST,PACKAGING COST,INVENTORY COST,HANDLING COST,C AND F COST,BUYING COST,TOTAL LEAD TIME
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,1793595.67383486,0.0,0.0,0.0,0.0,0.0,30.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,35018.059157181,0.0,0.0,0.0,0.0,0.0,30.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,144482.113625492,0.0,0.0,0.0,0.0,0.0,30.613
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,5387.106660218999,0.0,0.0,0.0,0.0,0.0,30.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,22464.358445056,0.0,0.0,0.0,0.0,0.0,35.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0,0.0,29403.35967635463,30.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,03-2021,898708.8887289689,0.0,0.0,0.0,0.0,0.0,30.613
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0,0.0,243142.4378285323,30.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,6675758.062854048,0.0,0.0,0.0,0.0,0.0,30.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,07-2021,0.0,0.0,0.0,0.0,0.0,838.944,30.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,04-2021,0.0,0.0,0.0,0.0,0.0,3536.8603911412106,30.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0,0.0,20114.997000000003,30.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,630779.540184643,0.0,0.0,0.0,0.0,0.0,30.613
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,03-2021,742.4291010029999,0.0,0.0,0.0,0.0,0.0,30.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,02-2021,0.0,0.0,0.0,0.0,0.0,15810.8265,30.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,06-2021,0.0,0.0,0.0,0.0,0.0,49601.99917448958,30.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,SUPPLIER,,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,RAW_MATERIAL,01-2021,0.0,0.0,0.0,0.0,0.0,879.244,30.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,03-2021,0.0,0.0,0.0,0.0,0.0,1505.9030000000002,30.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,07-2021,0.0,0.0,0.0,0.0,0.0,16738.81127206701,30.0
DC_JV_Baseco_Panama_TUG,DC_JV_Baseco_Panama_TUG,PAN WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_69_THOMAS_KERSHAW_TUG,L2_69_THOMAS_KERSHAW_TUG,THOMAS KERSHAW_SOUTH CHINA,SUPPLIER,,TUG_CKW_CAROUSEL_SYNTHETIC_TRIM,,,RAW_MATERIAL,03-2021,0.0,0.0,0.0,0.0,0.0,914.2135,30.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,8944261.741283435,0.0,0.0,0.0,0.0,0.0,30.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,04-2021,0.0,0.0,0.0,0.0,0.0,258.083,30.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,07-2021,0.0,0.0,0.0,0.0,0.0,1131.19506758934,30.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,02-2021,0.0,0.0,0.0,0.0,0.0,337454.06250036234,30.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,05-2021,0.0,0.0,0.0,0.0,0.0,198.61978202586,30.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W46_TUG,W46_TUG,US WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,06-2021,108103.560501223,0.0,0.0,0.0,0.0,0.0,30.613
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,10-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,04-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,04-2021,418206.719851283,0.0,0.0,0.0,0.0,0.0,35.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,02-2021,0.0,0.0,0.0,0.0,0.0,344.9320000000001,30.0
GDEUML_TUG,GDEUML_TUG,EU WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,06-2021,0.0,0.0,0.0,0.0,0.0,2356.6095,30.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,06-2021,505321.922376007,0.0,0.0,0.0,0.0,0.0,35.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,08-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_MBF,,,RAW_MATERIAL,03-2021,0.0,0.0,0.0,0.0,0.0,20376.19222100202,30.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,FACTORY,,TUG_CKW_CAROUSEL_SYNTHETIC,,,MANUFACTURED,03-2021,89391.254466789,0.0,0.0,0.0,0.0,0.0,35.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L2_88_TEEJAY_TUG,L2_88_TEEJAY_TUG,TEEJAY_SOUTH INDIA,SUPPLIER,,TUG_CKW_CAROUSEL_COTTON_TRIM,,,RAW_MATERIAL,05-2021,0.0,0.0,0.0,0.0,0.0,9.4365,30.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,09-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,05-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06_TUG,W06_TUG,Canada WH,WAREHOUSE,,TUG_CKW_CAROUSEL_COTTON,,,MANUFACTURED,07-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
